FS;"<div>[U' R U; U2, R' D2 R]</div><div>[U R' U; U2, R D' R']</div>[F: U2, R' D2 R]"
SF;"<div>[U' R U; R' D2 R, U2]</div><div>[U R' U; R D' R', U2]</div>[F: R' D2 R, U2]"
FW;"<div>[D U R'; R' D2 R, U2]</div><div>[R U R' U'; R D R', U2]</div>[R2 F: U2, R' D' R]"
WF;"<div>[D U R'; U2, R' D2 R]</div><div>[R U R' U'; U2, R D R']</div>[R2 F: R' D' R, U2]"
FT;"[D U' R; U2, R D' R']"
TF;"[D U' R; R D' R', U2]"
FO;"<div>[U' R U; U2, R' D' R]</div>[F U'; U2, R D R']"
OF;"<div>[U' R U; R' D' R, U2]</div>[F U'; R D R', U2]"
FV;"[U D' R'; R' D R, U2]<div>[F: U2, R' D R]</div>"
VF;"[U D' R'; U2, R' D R]<div>[F: R' D R, U2]</div>"
FP;"[R' F U'; U2, R D R']"
PF;"[R' F U'; R D R', U2]"
FK;"<div>[U R' U; U2, R D R']</div>[x' U; U R' U', L2]"
KF;"[U R' U; R D R', U2]<div>[x' U; L2, U R' U']</div>"
FU;"[U R'; R' D R, U2]"
UF;"[U R'; U2, R' D R]"
FL;"[U' R; U2, R D2 R']"
LF;"[U' R; R D2 R', U2]"
FG;"[U' R U; U2, R' D R]"
GF;"[U' R U; R' D R, U2]"
XW;"<div>[U'; U' R2 U, L2]</div>[R U'; U' R U, L2]"
WX;"<div>[U'; L2, U' R2 U]</div>[R U'; L2, U' R U]"
XT;"[D2 R'; R' U R, D2]"
TX;"[D2 R'; D2, R' U R]"
XO;"<div>[R' D' R; R' U2 R, D']</div>[U R'; U, R' D2 R]"
OX;"<div>[R' D' R; D', R' U2 R]</div>[U R'; R' D2 R, U]"
XV;"[R U R'; U', R' D2 R]"
VX;"[R U R'; R' D2 R, U']"
XP;[D: U R' U', L2]
PX;[D: L2, U R' U']
XK;"[D' R; R U2 R',&nbsp;D']<div>[U'; U' R U, L2]</div>"
KX;"[D' R; D', R U2 R']<div>[U'; L2, U' R U]</div>"
XU;[D: U R2 U', L2]
UX;[D: L2, U R2 U']
XL;"[z' R; D2, R U R']"
LX;"[z' R; R U R', D2]"
XG;"[D' R; R U2 R', D2]"
GX;"[D' R; D2, R U2 R']"
HW;"[R2 U'; R D' R', U2]"
WH;"[R2 U'; U2, R D' R']"
HT;[D', R' U R]
TH;[R' U R, D']
HO;"[R D'; R' U R, D2]"
OH;"[R D'; D2, R' U R]"
HV;"[R'; D', R' U R]"
VH;"[R'; R' U R, D']"
HP;"[D'; R' U R, D2]"
PH;"[D'; D2, R' U R]"
HK;"[R U'; R D' R', U2]"
KH;"[R U'; U2, R D' R']"
HU;"[D R'; D2, R' U R]"
UH;"[D R'; R' U R, D2]"
HL;"[D'; R' U R, D']"
LH;"[D'; D', R' U R]"
HG;[D': L, U R' U']
GH;[D': U R' U', L]
SW;"[R; D2, R U2 R']"
WS;"[R; R U2 R', D2]"
ST;[U R' U', L]
TS;[L, U R' U']
SO;"<div>[D'; D', R U2 R']</div>[U: D', R' U' R]"
OS;"<div>[D'; R U2 R', D']</div>[U: R' U' R, D']"
SV;[U R2 U', L]
VS;[L, U R2 U']
SP;"[D R' U; R' D R, U]<br>R2 setup"
PS;"[D R' U; U, R' D R]"
SK;"[D2, R U2 R']<div>[U D'; R' U' R, D2]</div>"
KS;"[R U2 R', D2]<div>[U D'; D2, R' U' R]</div>"
SU;"[U D' R'; R' D2 R, U]"
US;"[U D' R'; U, R' D2 R]"
SL;"<div>[F': D2, R U2 R']</div>[D' R D; R' U R, D2]"
LS;"<div>[F': R U2 R', D2]</div>[D' R D; D2, R' U R]"
SG;"[D; D, R U2 R']"
GS;"[D; R U2 R', D]"
WV;[B2, R F R']
VW;[R F R', B2]
WP;[D' R': R' U R, D2]
PW;[D' R': D2, R' U R]
WK;[R D': R' D R, U2]
KW;[R D': U2, R' D R]
WU;"[R2 D' R' U'; L2, U' R U]"
UW;"[R2 D' R' U'; U' R U, L2]"
WL;[B2, R F' R']
LW;[R F' R', B2]
WG;"[R; R U2 R', D]"
GW;"[R; D, R U2 R']"
TV;"<div>[R' D; U, R D' R']</div>[R2 U R'; R' D' R, U']"
VT;"<div>[R' D; R D' R', U]</div>[R2 U R'; U', R' D' R]<br />"
TP;[R' U R, D]
PT;[D, R' U R]
TK;"[D R D'; R' U R, D2]"
KT;"[D R D'; D2, R' U R]"
TU;[L2, U R' U']
UT;[U R' U', L2]
TL;[R' U R, D2]
LT;[D2, R' U R]
TG;"[R' U; U, R' D R]"
GT;"[R' U; R' D R, U]"
OV;"[D U' R; D2, R U' R']"
VO;"[D U' R; R U' R', D2]"
OP;"<div>[D: U R' U', L]</div>[R'; U' L' U, R']"
PO;"<div>[D: L, U R' U']</div>[R'; R', U' L' U]"
OK;[D', R U2 R']
KO;[R U2 R', D']
OU;"[U R'; R' D R, U]"
UO;"[U R'; U, R' D R]"
OL;[F': D', R U2 R']
LO;[F': R U2 R', D']
OG;"[D'; R U2 R', D2]"
GO;"[D'; D2, R U2 R']"
VU;<div>[R U R', R' D R, U']</div>[L2, U R2 U']
UV;<div>[R U R', U', R' D R]</div>[U R2 U', L2]
VL;"[R'; R' U R, D2]"
LV;"[R'; D2, R' U R]"
VG;"[R2 U; U, R' D R]"
GV;"[R2 U; R' D R, U]"
PU;"[R D R'; D, R' U R]<br>[D R D', L2]"
UP;"[R D R'; R' U R, D]"
PL;"[D; R' U R, D]"
LP;"[D; D, R' U R]"
PG;"[R U' R'; U', R' D R]"
GP;"[R U' R'; R' D R, U']"
KU;"[R D' R' U'; L2, U' R U]"
UK;"[R D' R' U'; U' R U, L2]"
KL;"[z R'; U', R' D R]"
LK;"[z R'; R' D R, U']"
KG;[R U2 R', D]
GK;[D, R U2 R']
