IT;[r : [r, U R' U']]
IQ;[U2, l' D2 l]
IR;[D' L' D, r']
IW;[l U2 l', D2]
IX;[x: [r, U' L' U]]
IV;[Rw: [r, U R U']]
JC;[U': [R, U' r2 U]]
JD;[U: [U R U', r2]]
JA;[U R U', r2]
JB;[R, U' r2 U]
JG;[D R: [R, U l' U']]
JH;[R Uw': [r2, U' L' U]]
JE;[U': [r', D R' D']]
JF;[z': [U' R U, r]]
JK;[Lw' U': [R, U' r2 U]]
JL;[R U': [r2, U' L' U]]
JI;[r: [U R U', r]]
JO;[R Uw': [r2, U R' U']]
JP;[Uw' R: [U' r2 U, R2]]
JM;[U r: [U R U', r]]
JN;[z': [U' R U, r']]
JS;[D R' D', r]
JT;[Rw': [U' r' U, R2]]
JQ;[R': [r U2 r', D']]
JR;[z': [U' R U, r2]]
JW;[Rw2 U: [U l2 U', R']]
JX;[R U': [r2, U' L2 U]]
JV;[R: [U' r2 U, R]]
OC;[D': [l', U L2 U']]
OD;[D': [U' l' U, L2]]
OA;[D: [r', U R2 U']]
OB;[D: [U' r' U, R2]]
OG;[R2 U: [r, U L2 U']]
OH;[L U': [U' R2 U, r]]
OE;[U': [U' R2 U, r]]
OF;[R2 U: [r, U L' U']]
OK;[Rw U': [U' l2 U, R]]
OL;[R2 Uw: [r, U L U']]
OI;[U' R2 U, r]
OJ;[R Uw': [U R' U', r2]]
OP;[R: [R, U r U']]
OM;[R2, U r U']
ON;[R': [R', U r U']]
OS;[x: [U' R U, r]]
OT;[D R': [U' r' U, R']]
OQ;[U: [R2, U r U']]
OR;[D' L: [U' l' U, L]]
OW;[R2: [D2, r U r']]
OX;[R2: [D, r U r']]
OV;[R Uw' R': [U' r2 U, R2]]
PC;[Uw': [R', U' r2 U]]
PD;[Uw: [U' L' U, r2]]
PA;[r: [r2, U' R U]]
PB;[Uw': [U R' U', r2]]
PG;[R U: [r, U L2 U']]
PH;[L U': [U' R U, r]]
PE;[U': [U' R U, r]]
PF;[R U: [r, U L' U']]
PK;[Lw2 U: [U r U', R]]
PL;[z: [r, U L' U']]
PI;[U' R U, r]
PJ;[Uw' R: [R2, U' r2 U]]
PO;[R: [U r U', R]]
PM;[R, U r U']
PN;[R': [R2, U r U']]
PS;[D' R' D, r']
PT;[z': [l', U R U']]
PQ;[U: [R, U r U']]
PR;[x: [r' D r, U]]
PW;[R: [D2, r U r']]
PX;[R: [D, r U r']]
PV;[R U r: [r, U R U']]
MC;[Lw' U R: [r, U' R' U]]
MD;[D': [U r U', L2]]
MA;[Rw: [r2, U' R' U]]
MB;[U: [r, U2 Lw U2 Lw' U2]]
MG;[U: [r, U L2 U']]
MH;[U: [r, U L U']]
ME;[R U': [U' R' U, r]]
MF;[U: [r, U L' U']]
MK;[Rw U': [U' l2 U, R']]
ML;[Uw: [r, U L U']]
MI;[R: [U' R' U, r]]
MJ;[U r: [r, U R U']]
MO;[U r U', R2]
MP;[U r U', R]
MN;[U r U', R']
MS;[Rw: [U' R' U, r]]
MT;[Uw: [r, U' R U]]
MQ;[U', l' D2 l]
MR;[4Uw: [r, U' R' U]]
MW;[D2, r U r']
MX;[D, r U r']
MV;[D', r U r']
NC;[Lw' U: [R', U r U']]
ND;[4Uw: [U R U', r2]]
NA;[r: [r2, U' R' U]]
NB;[U' r: [r2, U' R' U]]
NG;[R' U: [r, U L2 U']]
NH;[L U': [U' R' U, r]]
NE;[U': [U' R' U, r]]
NF;[R' U: [r, U L' U']]
NK;[Rw U': [U' l2 U, R2]]
NL;[R' Uw: [r, U L U']]
NI;[U' R' U, r]
NJ;[z': [r', U' R U]]
NO;[R': [U r U', R']]
NP;[R': [U r U', R2]]
NM;[R', U r U']
NS;[D' R D, r']
NT;[Uw R': [U r U', R2]]
NQ;[U: [R', U r U']]
NR;[z: [l, U' L' U]]
NW;[R': [D2, r U r']]
NX;[R': [D, r U r']]
NV;[R' Uw: [r, U' R U]]
SC;[U' Rw': [r', U R U']]
SD;[D' L2 D, r]
SA;[U Rw': [r', U R U']]
SB;[D R2 D', r]
SG;[x: [r, U L' U']]
SH;[r', D L' D']
SE;[r', D L2 D']
SF;[r', D L D']
SK;[r': [D2, l' U2 l]]
SL;[r, D' L D]
SI;[U' Rw: [r, U' R' U]]
SJ;[r, D R' D']
SO;[x: [r, U' R U]]
SP;[r', D' R' D]
SM;[Rw: [r, U' R' U]]
SN;[r', D' R D]
ST;[r' : [r', U R' U']]
SQ;[U: [r', D' R2 D]]
SR;[r' : [r', U' L U]]
SW;[r: [D2, l U2 l']]
SX;[r': [r', U' L2 U]]
SV;[r': [r', U R2 U']]
TC;[U': [R', U' r2 U]]
TD;[U: [U R' U', r2]]
TA;[U R' U', r2]
TB;[R', U' r2 U]
TG;[Rw': [D', r' U' r]]
TH;[z': [U R U', l]]
TE;[Uw': [U L U', r]]
TF;[x: [U', r' D' r]]
TK;[Rw': [D2, r' U' r]]
TL;[z: [r2, U L' U']]
TI;[r: [U R' U', r]]
TJ;[Rw': [R2, U' r' U]]
TO;[D R': [R', U' r' U]]
TP;[z': [U R U', l']]
TM;[Uw: [U' R U, r]]
TN;[Uw R': [R2, U r U']]
TS;[r': [U R' U', r']]
TQ;[Uw: [R, U r U']]
TR;[Rw' U': [r', U' L U]]
TW;[Rw: [D, l U2 l']]
TX;[z: [L', U' r2 U]]
TV;[Rw': [U' r' U, R']]
QC;[D': [l, U L2 U']]
QD;[U2 Rw: [r, U R' U']]
QA;[U2: [r, U2 Lw U2 Lw' U2]]
QB;[R2: [D', r U2 r']]
QG;[U': [U' r U, L2]]
QH;[U': [U' r U, L]]
QE;[l' D2 l, U]
QF;[U': [U' r U, L']]
QK;[U Lw: [D2, r U r']]
QL;[U2: [D' L D, r']]
QI;[l' D2 l, U2]
QJ;[R' U: [D', r U r']]
QO;[U: [U r U', R2]]
QP;[U: [U r U', R]]
QM;[l' D2 l, U']
QN;[U: [U r U', R']]
QS;[U: [D' R2 D, r']]
